"created_on","provincia","partido","rooms","surface_total","surface_covered","price","currency","title","property_type","operation_type","lat","lon"
"202006","CABA","Comuna 7",1,40,37,22500,"ARS","Departamento - Flores","Departamento","Alquiler",-34.619175,-58.4622191
"202006","CABA","Comuna 13",1,30,30,18000,"ARS","Retasado! Monoambiente en Nuñez, excelente ubicación!","Departamento","Alquiler",-34.5546024135,-58.4665175968
"202006","CABA","Comuna 13",1,31,29,17900,"ARS","Departamento - Belgrano","Departamento","Alquiler",-34.563179,-58.4646081
"202006","CABA","Comuna 1",1,35,35,42000,"ARS","Monoambiente con cochera. Zencity. Puerto Madero","Departamento","Alquiler",-34.6183551151,-58.3608973857
"202006","GBA","Vicente López",1,36,27,19000,"ARS","Alquiler TORRE dpto de 1o2 ambientes - excelente luz y vista cochera optativa","Departamento","Alquiler",-34.5334427,-58.4934526
"202006","GBA","La Matanza",2,24,24,12000,"ARS","PH - Lomas Del Mirador","PH","Alquiler",-34.6625311,-58.5291444
"202006","GBA","General San Martín",2,40,40,15000,"ARS","PH - Chilavert","PH","Alquiler",-34.5430063,-58.5757339
"202006","CABA","Comuna 13",2,60,50,32000,"ARS","Depto 2AMB c/ Suite y Toilette  - Deheza 1600 - Incluye Cochera","Departamento","Alquiler",-34.5379549,-58.4667092
"202006","CABA","Comuna 13",2,53,44,26000,"ARS","Unico 2 ambientes A Estrenar! Posesion inmediata! - Nuñez","Departamento","Alquiler",-34.5475568,-58.4703691
"202006","CABA","Comuna 1",2,39,34,14000,"ARS","DEPARTAMENTO-OFICINA 2 AMB AL FRENTE CON BALCÓN APTO PROFES PLAZA SAN MARTIN","Departamento","Alquiler",-34.5965459,-58.3744272
"202006","CABA","Comuna 5",2,45,38,20000,"ARS","Departamento de 2 ambientes en Alquiler en Almagro","Departamento","Alquiler",-34.6061252346,-58.4294671732
"202006","CABA","Comuna 12",2,42,37,22000,"ARS","Depto 2AMB - Av. Balbin 3400 - ALQUILER","Departamento","Alquiler",-34.5569991,-58.4789811
"202006","CABA","Comuna 14",2,43,33,27000,"ARS","Dos ambientes con Balcón a Demaría y Patio.","Departamento","Alquiler",-34.5742139495,-58.4224332846
"202006","CABA","Comuna 13",2,55,55,45000,"ARS","BLANCO ENCALADA AL 3000 A ESTRENAR","Departamento","Alquiler",-34.5631335,-58.4655023
"202006","CABA","Comuna 14",2,48,48,23000,"ARS","Departamento - Belgrano","Departamento","Alquiler",-34.5645618,-58.4355947
"202006","GBA","La Plata",2,50,50,18000,"ARS","Alquiler, depto de un domitorio frente al parque San Martin","Departamento","Alquiler",-34.9341467304,-57.9660540652
"202006","GBA","La Plata",2,35,35,13500,"ARS","Departamento - La Plata","Departamento","Alquiler",-34.9064534615,-57.9733496737
"202006","CABA","Comuna 1",2,45,45,32000,"ARS","Departamento - Recoleta","Departamento","Alquiler",-34.5970758,-58.3843923
"202006","CABA","Comuna 6",2,46,42,15000,"ARS","Departamento - Caballito","Departamento","Alquiler",-34.608312,-58.4419105
"202006","GBA","Hurlingham",2,45,45,14800,"ARS","Departamento  2 ambientes, Ituzaingo","Departamento","Alquiler",-34.6250839,-58.660399
"202006","CABA","Comuna 2",2,50,35,26000,"ARS","Anchorena 1100 – 2 ambientes con balcon aterrazado y terraza común!","Departamento","Alquiler",-34.595651,-58.4067079
"202006","CABA","Comuna 2",2,41,41,18000,"ARS","Departamento - Barrio Norte","Departamento","Alquiler",-34.5921625,-58.4045308
"202006","CABA","Comuna 14",2,40,40,18000,"ARS","Departamento - Villa Crespo","Departamento","Alquiler",-34.5953939,-58.4317591
"202006","CABA","Comuna 15",2,46,46,20000,"ARS","Departamento de 2 ambientes en Alquiler en Villa crespo","Departamento","Alquiler",-34.5959688801,-58.4400177163
"202006","CABA","Comuna 12",2,48,40,20000,"ARS","EXCELENTE 2 AMBIENTES AL FRENTE CON BALCON EN VILLA URQUIZA, EDIFICIO CON PISCINA Y PARILLA","Departamento","Alquiler",-34.5705179,-58.4914578
"202006","GBA","Vicente López",2,40,33,23000,"ARS","Departamento 2 ambientes impecable - Olivos","Departamento","Alquiler",-34.508992,-58.4814443
"202006","GBA","Lomas de Zamora",2,45,42,14000,"ARS","Departamento - Lomas de Zamora Este","Departamento","Alquiler",-34.7592533,-58.395937
"202006","GBA","Lomas de Zamora",2,44,44,20000,"ARS","Departamento - Lomas de Zamora Oeste","Departamento","Alquiler",-34.7626139,-58.4053147
"202006","GBA","General San Martín",2,56,48,14000,"ARS","Departamento céntrico - Villa Ballester","Departamento","Alquiler",-34.5503757,-58.5551186
"202006","GBA","Ituzaingó",3,75,75,19000,"ARS","Americana a 6 cuadras de la estacion de S.A. de Padua","Casa","Alquiler",-34.6595669,-58.6971159
"202006","GBA","Tigre",3,95,80,42000,"ARS","3 AMBIENTES EN EDIFICIO MIRADORES DE LA BAHIA CON COCHERA FIJA","Departamento","Alquiler",-34.3964183,-58.6466527
"202006","GBA","Tigre",3,98,90,42000,"ARS","¡EN EXCLUSIVA! Departamento en alquiler de 3 ambientes Miradores de La Bahía, Bahía de Nordelta.","Departamento","Alquiler",-34.3951200428,-58.6466471814
"202006","CABA","Comuna 13",3,109,94,90000,"ARS","Alquiler Depto 3 Amb a Estrenar Nuñez C/Cochera","Departamento","Alquiler",-34.5452095,-58.4628614
"202006","CABA","Comuna 14",3,152,152,240000,"ARS","ALQUILER en TORRES DE GELLY 152 m2 con 2 dorm dep y 1 coch ALTO vista Rio  SIN muebles","Departamento","Alquiler",-34.5776022,-58.4049865
"202006","CABA","Comuna 14",3,90,85,80000,"ARS","ALQUILER 3 AMB CON DEPENDENCIA! - Y COCHERA TORRE AMENITIES!!","Departamento","Alquiler",-34.5935318,-58.4146161
"202006","CABA","Comuna 14",3,64,60,25000,"ARS","Departamento de 3 ambientes en Alquiler en Palermo","Departamento","Alquiler",-34.59680321,-58.4236267177
"202006","CABA","Comuna 14",3,152,152,240000,"ARS","ALQUILER en TORRES DE GELLY 152 m2 con 2 dorm dep y 1 coch ALTO vista Rio","Departamento","Alquiler",-34.5776022,-58.4049865
"202006","CABA","Comuna 14",3,152,152,240000,"ARS","ALQUILER en TORRES DE GELLY 152 m2 con 2 dorm dep y 1 coch ALTO vista Rio SIN muebles","Departamento","Alquiler",-34.5776022,-58.4049865
"202006","GBA","La Plata",3,40,40,10000,"ARS","Departamento - José Hernández","Departamento","Alquiler",-34.8976811478,-58.0278697602
"202006","GBA","La Plata",3,45,45,13000,"ARS","Departamento - La Plata","Departamento","Alquiler",-34.9165184241,-57.9440384936
"202006","CABA","Comuna 6",3,55,50,37000,"ARS","Departamento - Caballito Norte","Departamento","Alquiler",-34.6125001,-58.4435468
"202006","CABA","Comuna 6",3,62,59,33000,"ARS","Departamento 3 ambientes con balcón en Caballito","Departamento","Alquiler",-34.6304243,-58.4509511
"202006","CABA","Comuna 2",3,87,87,42000,"ARS","Av Pueyrredon y French","Departamento","Alquiler",-34.5902414,-58.4005675
"202006","CABA","Comuna 1",3,57,57,24000,"ARS","IMPECABLE DEPTO 3 AMB APTO PROF MUY LUMINOSO BAJAS EXPENSAS OPCIONAL AMOBLADO","Departamento","Alquiler",-34.6065237,-58.3901595
"202006","CABA","Comuna 14",3,64,60,25000,"ARS","Departamento de 3 ambientes en Alquiler en Villa crespo","Departamento","Alquiler",-34.59680321,-58.4236267177
"202006","CABA","Comuna 1",3,95,85,95000,"ARS","Departamento 3 ambientes con gran balcón aterrazado y cochera en Puerto Madero","Departamento","Alquiler",-34.6115385825,-58.3621419307
"202006","CABA","Comuna 1",3,80,70,50000,"ARS","ALQUILER 3 AMBIENTES PUERTO MADERO, AMOBLADO","Departamento","Alquiler",-34.6161184,-58.3620692
"202006","CABA","Comuna 1",3,135,130,210000,"ARS","Depto alquiler 3 ambientes con cochera y amenities en Torre River View, Puerto Madero","Departamento","Alquiler",-34.6060815,-58.363063
"202006","GBA","Vicente López",3,57,52,16000,"ARS","Departamento - Florida Mitre/Este","Departamento","Alquiler",-34.5335505,-58.4800733
"202006","CABA","Comuna 14",4,125,105,85000,"ARS","PH en alquiler 4 ambientes - Las Cañitas","PH","Alquiler",-34.5720661,-58.4324886
"202006","GBA","Merlo",4,180,140,27000,"ARS","Casa en Padua 3 dormitorios en alquiler","Casa","Alquiler",-34.6615401,-58.7156537
"202006","GBA","Pilar",4,267,267,50000,"ARS","Casa en venta o alquiler en La Peregrina","Casa","Alquiler",-34.4709128693,-58.822702889
"202006","GBA","Escobar",4,166,136,34000,"ARS","Casa en Venta 4 Ambientes Barrio El Ensueño","Casa","Alquiler",-34.366851005,-58.7409350767
"202006","GBA","San Isidro",4,180,180,48000,"ARS","Casa - Villa Adelina","Casa","Alquiler",-34.5101195,-58.5449386
"202006","GBA","Tigre",4,223,146,90000,"ARS","Los Robles Village - Departamento en venta","Departamento","Alquiler",-34.4305099,-58.5896953
"202006","CABA","Comuna 14",4,91,84,74000,"ARS","Alquiler en Palermo departamento 4 ambientes con cochera en Torre con amenities","Departamento","Alquiler",-34.5847774,-58.4227935
"202006","CABA","Comuna 2",4,72,62,35000,"ARS","Departamento - 4 ambientes con cochera en Recoleta!","Departamento","Alquiler",-34.5924866,-58.3987505
"202006","CABA","Comuna 6",4,93,84,42000,"ARS","Departamento - Caballito","Departamento","Alquiler",-34.6215498,-58.4310929
"202006","GBA","San Isidro",4,193,153,74000,"ARS","Departamento - San Isidro Central","Departamento","Alquiler",-34.474716,-58.5210255
"202006","GBA","Tigre",5,343,310,75000,"ARS","Casa en ALQUILER y VENTA en EL ENCUENTRO - Alquiler $75.000 / Venta USD 580.000.-","Casa","Alquiler",-34.4324275,-58.6723292
"202006","GBA","Escobar",5,290,235,80000,"ARS","Casa en venta en Barrio San Marco Villanueva - USD 400.000","Casa","Alquiler",-34.3895838,-58.7201261
"202006","GBA","Escobar",5,180,130,45000,"ARS","Casa - La Barra Village","Casa","Alquiler",-34.3683684048,-58.7821889711
"202006","CABA","Comuna 10",5,100,97,20000,"ARS","ALQUILO MUY BUEN DEPARTAMENTO 5 AMBIENTES EN FLORESTA","Departamento","Alquiler",-34.634932,-58.4809876
"202006","GBA","Tigre",6,330,225,75000,"ARS","Casa en Alquiler con Pileta en BARRANCAS DEL LAGO NORDELTA $75.000","Casa","Alquiler",-34.4204092,-58.6642047
"202006","GBA","Vicente López",7,550,400,150000,"ARS","ESPECTACULAR  CASA EN GASPAR CAMPOS - LA MEJOR CUADRA DE VICENTE LOPEZ!","Casa","Alquiler",-34.5266023,-58.4766332
"202006","GBA","Tigre",1,55,40,110000,"USD","Departamento de 1 amb. en venta en North Coral Plaza Nordelta USD 110.000.-","Departamento","Venta",-34.4008097,-58.6524757
"202006","GBA","Tigre",1,49,40,100000,"USD","Departamento Monoambiente en Loft del Sendero AMOBLADO USD 100.000.-","Departamento","Venta",-34.4033675,-58.6489966
"202006","CABA","Comuna 13",1,30,30,75000,"USD","Retasado! Monoambiente en Nuñez, excelente ubicación!","Departamento","Venta",-34.5546024135,-58.4665175968
"202006","CABA","Comuna 13",1,52,45,170000,"USD","Departamento - Coghlan","Departamento","Venta",-34.5627857,-58.4660468
"202006","CABA","Comuna 14",1,33,29,125000,"USD","Departamento - Palermo","Departamento","Venta",-34.5867978,-58.4085036
"202006","CABA","Comuna 14",1,34,30,71400,"USD","Emprendimiento en Palermo Holywood - Departamento 1 amb. con Balcón","Departamento","Venta",-34.5797730312,-58.4293844116
"202006","CABA","Comuna 15",1,33,33,83895,"USD","Oportunidad monoambiente","Departamento","Venta",-34.6075947,-58.4457497
"202006","CABA","Comuna 15",1,50,42,127015,"USD","Excelente oportunidad. Edificio nuevo en fase final de construcción","Departamento","Venta",-34.6075947,-58.4457497
"202006","CABA","Comuna 15",1,35,31,100000,"USD","OPORTUNIDAD VENTA MONOAMBIENTE A ESTRENAR UBICADO EN VILLA URQUIZA","Departamento","Venta",-34.579832,-58.47667
"202006","CABA","Comuna 11",2,52,52,104000,"USD","Depto.tipo casa de 2 ambientes en Venta en Paternal","PH","Venta",-34.607169,-58.467007
"202006","GBA","Ituzaingó",2,92,43,80000,"USD","PH DE 2 AMBIENTES A ESTRENAR EN ITUZAINGO NORTE","PH","Venta",-34.6461127,-58.6811918
"202006","CABA","Comuna 15",2,45,45,95000,"USD","Depto.tipo casa de 2 ambientes en Venta en Villa urquiza","PH","Venta",-34.5798985157,-58.4723123729
"202006","CABA","Comuna 11",2,52,52,105000,"USD","Depto.tipo casa de 2 ambientes en Venta en Villa gral.mitre","PH","Venta",-34.607169,-58.467007
"202006","GBA","La Plata",2,100,65,75000,"USD","139 entre 34 y 35. Duplex de 2 dorm en venta, San Carlos","Casa","Venta",-34.9329958303,-57.9993490275
"202006","CABA","Comuna 3",2,40,40,80000,"USD","OPORTUNIDAD! VENTA DEPARTAMENTO 2 AMBIENTES UBICADO EN EL CENTRO DE LA CIUDAD","Departamento","Venta",-34.6047026,-58.3962083
"202006","CABA","Comuna 5",2,30,30,65000,"USD","Departamento de 2 ambientes en Venta en Boedo","Departamento","Venta",-34.6261125628,-58.4190830127
"202006","GBA","Tigre",2,115,50,165000,"USD","Departamento 2 amb. en venta en Nordelta -  Edificio Insignia - Barrio El Palmar - USD 165.000.-","Departamento","Venta",-34.4247,-58.6583108
"202006","GBA","Tigre",2,85,70,155000,"USD","Departamento en venta con renta de 2 ambientes en Edificio 01 Tigre - USD 155.000.- CERO UNO TIGRE","Departamento","Venta",-34.4331419,-58.583538
"202006","GBA","Tigre",2,160,80,293000,"USD","Departamento 2 amb. en Marinas del Canal, Bahía Grande, Nordelta USD 293.000.-","Departamento","Venta",-34.3943297,-58.6452402
"202006","GBA","Tigre",2,69,60,160000,"USD","Departamento en VENTA QBAY GOLF - USD 160.000.-","Departamento","Venta",-34.409058,-58.6325064
"202006","GBA","Tigre",2,69,60,160000,"USD","Departamento en venta en Qbay Golf - 2 amb. - USD 193.000.-","Departamento","Venta",-34.409058,-58.6325064
"202006","GBA","Tigre",2,80,65,165000,"USD","Departamento de 2 amb. en venta en North Coral Plaza Nordelta USD 165.000.-","Departamento","Venta",-34.4008097,-58.6524757
"202006","GBA","Tigre",2,75,64,259000,"USD","Excelente y luminoso departamento de 2 ambientes. al rio. golf amarras, spa.","Departamento","Venta",-34.4050954,-58.6242532
"202006","CABA","Comuna 7",2,55,49,155000,"USD","Venta Departamento 2 ambientes balcon cochera parrilla Flores","Departamento","Venta",-34.6243707,-58.457228
"202006","CABA","Comuna 1",2,39,34,73000,"USD","DEPARTAMENTO-OFICINA 2 AMB AL FRENTE CON BALCÓN APTO PROFES PLAZA SAN MARTIN","Departamento","Venta",-34.5965459,-58.3744272
"202006","CABA","Comuna 5",2,74,56,160000,"USD","Departamento de 2 ambientes en Venta en Almagro","Departamento","Venta",-34.6156201897,-58.4226390036
"202006","CABA","Comuna 5",2,40,40,83000,"USD","Departamento de 2 ambientes en Venta en Almagro","Departamento","Venta",-34.6099131955,-58.4250902939
"202006","CABA","Comuna 15",2,66,58,190000,"USD","Departamento de 2 ambientes en Venta en Almagro","Departamento","Venta",-34.5982192139,-58.4300380813
"202006","CABA","Comuna 5",2,68,65,139500,"USD","Departamento de 2 ambientes en Venta en Almagro","Departamento","Venta",-34.60273,-58.41435
"202006","CABA","Comuna 5",2,37,37,74000,"USD","2 AMBIENTES IDEAL INVERSIÓN EN ALMAGRO","Departamento","Venta",-34.6037317,-58.4243564
"202006","CABA","Comuna 14",2,42,42,85000,"USD","Departamento de 2 ambientes en Venta en Palermo","Departamento","Venta",-34.5949286492,-58.4232193831
"202006","CABA","Comuna 15",2,66,58,190000,"USD","Departamento de 2 ambientes en Venta en Palermo","Departamento","Venta",-34.5982192139,-58.4300380813
"202006","CABA","Comuna 14",2,43,37,154500,"USD","Departamento de 2 ambientes en Venta en Palermo","Departamento","Venta",-34.5880071,-58.4201224
"202006","CABA","Comuna 13",2,34,33,110000,"USD","VENTA DEPARTAMENTO 2 AMBIENTES EN BELGRANO","Departamento","Venta",-34.5659326,-58.4537776
"202006","CABA","Comuna 14",2,56,51,145000,"USD","Belgrano | Teodoro García 2400 | Dúplex de 2 ambientes Apto Profesional.","Departamento","Venta",-34.5708097,-58.4463742
"202006","CABA","Comuna 10",2,49,40,105000,"USD","Departamento a estrenar 2 Ambientes en venta sobre Av. Juan B. Alberdi - Floresta - USD 105.000.-","Departamento","Venta",-34.6352428,-58.4743757
"202006","CABA","Comuna 2",2,55,51,200000,"USD","Departamento de 2 ambientes en Venta en Recoleta","Departamento","Venta",-34.59625,-58.41399
"202006","CABA","Comuna 3",2,49,45,82584,"USD","VENTA DEPARTAMENTO DE POZO 2 AMB.  EN BALVANERA","Departamento","Venta",-34.6118473,-58.3965419
"202006","CABA","Comuna 15",2,73,41,187272,"USD","Oportunidad","Departamento","Venta",-34.6075947,-58.4457497
"202006","CABA","Comuna 15",2,49,49,129187,"USD","Importante Oportunidad de invertir en proyección de futuro","Departamento","Venta",-34.6075947,-58.4457497
